Plataform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject,Certificate
EDX,Delft University of Technology,Introduction to Aerospace Structures and Materials,Introductory,0,English,0.0,37126,Self-paced on your time,Engineering,50
EDX,IBM,Visualizing Data with Python,Intermediate,0,English,0.0,42101,Self-paced on your time,Data Analysis & Statistics,39
EDX,The Hong Kong Polytechnic University,Success: Practical Thinking Skills,Introductory,0,English,0.0,24414,Self-paced on your time,Philosophy & Ethics,50
EDX,The Hong Kong University of Science and Technology,English for Doing Business in Asia – Speaking,Introductory,0,English,0.0,68422,Self-paced on your time,Humanities,60
EDX,Wageningen University & Research,Nutrition and Health: Macronutrients and Overnutrition,Introductory,0,English,0.0,208582,Self-paced on your time,Biology & Life Sciences,99
EDX,Harvard University,"Contemporary China: The People's Republic, Taiwan, and Hong Kong",Introductory,0,English,0.0,66771,Self-paced on your time,History,139
EDX,The University of Queensland,Introduction to Clinical Psychology,Introductory,0,English,0.0,57234,Self-paced on your time,Humanities,99
EDX,Harvard University,Modern Masterpieces of World Literature,Introductory,0,English,0.0,48049,Self-paced on your time,Literature,99
EDX,Harvard University,"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",Introductory,0,English,0.0,24259,Self-paced on your time,Social Sciences,49
EDX,"The University of Maryland, College Park-University System of Maryland",Applied Scrum for Agile Project Management,Advanced,0,English,0.0,55293,Self-paced on your time,Engineering,199
EDX,Indian Institute of Management Bangalore,Corporate Finance,Intermediate,0,English,0.0,62798,Self-paced on your time,Business & Management,150
EDX,Harvard University,Judaism Through Its Scriptures,Introductory,0,English,0.0,50540,Self-paced on your time,Humanities,99
EDX,Universitat Politècnica de Valencia,Excel avanzado: importación y análisis de datos,Advanced,0,Español,0.0,47184,Self-paced on your time,Data Analysis & Statistics,75
EDX,The World Wide Web Consortium (W3C),CSS Basics,Introductory,0,English,0.0,95163,Self-paced on your time,Computer Science,199
EDX,IsraelX-Tel Aviv University,Unlocking Information Security: Part I,Intermediate,0,English,0.0,19905,Self-paced on your time,Computer Science,149
EDX,The University of Queensland,Becoming an Effective Leader,Intermediate,0,English,0.0,55937,Self-paced on your time,Communication,99
EDX,Curtin University,Digital Branding and Engagement,Intermediate,0,English,0.0,122977,Self-paced on your time,Communication,99
EDX,University of Washington,Introduction to Cybersecurity,Introductory,0,English,0.0,73021,Self-paced on your time,Computer Science,199
EDX,Tsinghua University,General Academic English|生活英语进阶,Introductory,0,English,0.0,17526,Self-paced on your time,Language,49
EDX,Universidad Nacional de Córdoba,Gestión de personas: Recursos Humanos,Introductory,0,Español,0.0,19687,Self-paced on your time,Business & Management,119
EDX,University of Oxford,From Poverty to Prosperity: Understanding Economic Development,Intermediate,0,English,0.0,91062,Self-paced on your time,Social Sciences,149
EDX,Doane University,Medical Terminology,Introductory,0,English,0.0,31354,Self-paced on your time,Biology & Life Sciences,79
EDX,Harvard University,Ancient Masterpieces of World Literature,Introductory,0,English,0.0,48899,Self-paced on your time,Literature,99
EDX,Harvard University,Shakespeare's The Merchant of Venice: Shylock,Introductory,0,English,0.0,23283,Self-paced on your time,Humanities,49
EDX,Universidades Anáhuac,Gestión del estrés y Mindfulness,Introductory,0,Español,0.0,15965,Self-paced on your time,Health & Safety,49
EDX,University of Toronto,Behavioural Economics in Action,Introductory,0,English,0.0,66764,Self-paced on your time,Business & Management,139
EDX,The University of Michigan,Finance for Everyone: Smart Tools for Decision-Making,Introductory,0,English,0.0,45029,Self-paced on your time,Business & Management,49
EDX,"University System of Maryland-The University of Maryland, College Park",Creating Innovative Business Models,Introductory,0,English,0.0,12227,Self-paced on your time,Business & Management,149
EDX,Massachusetts Institute of Technology,u.lab: Leading From the Emerging Future,Introductory,0,English,0.0,79424,Self-paced on your time,Business & Management,99
EDX,Delft University of Technology,Electric Cars: Introduction,Intermediate,0,English,0.0,56171,Self-paced on your time,Engineering,50
EDX,IBM,Inteligencia Artificial para todos: Domina los fundamentos,Introductory,0,Español,0.0,11764,Self-paced on your time,Computer Science,49
EDX,Columbia University,Marketing Analytics,Advanced,0,English,0.0,55228,Instructor-led on a course schedule,Business & Management,249
