Platform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject
edX,Harvard University,Ancient Masterpieces of World Literature,Beginner,99.0,English,2,48899,Self-paced on your time,Literature
edX,Harvard University,Shakespeare's The Merchant of Venice: Shylock,Beginner,49.0,English,2,23283,Self-paced on your time,Humanities
edX,Universidades Anáhuac,Gestión del estrés y Mindfulness,Beginner,49.0,Español,2,15965,Self-paced on your time,Health & Safety
edX,University of Toronto,Behavioural Economics in Action,Beginner,139.0,English,5,66764,Self-paced on your time,Business & Management
edX,The University of Michigan,Finance for Everyone: Smart Tools for Decision-Making,Beginner,49.0,English,2,45029,Self-paced on your time,Business & Management
edX,"University System of Maryland-The University of Maryland, College Park",Creating Innovative Business Models,Beginner,149.0,English,3,12227,Self-paced on your time,Business & Management
edX,Massachusetts Institute of Technology,u.lab: Leading From the Emerging Future,Beginner,99.0,English,4,79424,Self-paced on your time,Business & Management
edX,Delft University of Technology,Electric Cars: Introduction,Intermediate,50.0,English,5,56171,Self-paced on your time,Engineering
edX,IBM,Inteligencia Artificial para todos: Domina los fundamentos,Beginner,49.0,Español,4,11764,Self-paced on your time,Computer Science
edX,Columbia University,Marketing Analytics,Advanced,249.0,English,5,55228,Instructor-led on a course schedule,Business & Management
edX,Universidad Autónoma de Madrid,Introducción a la Regulación Emocional basada en Mindfulness,Beginner,49.0,Español,4,20634,Self-paced on your time,Health & Safety
edX,Rochester Institute of Technology,Design Thinking Fundamentals,Intermediate,299.0,English,5,56446,Self-paced on your time,Business & Management
edX,Universitat Politècnica de Valencia,Basic Spanish 3: Getting there,Beginner,50.0,English,4,17569,Self-paced on your time,Language
edX,Universidad Nacional de Córdoba,Mi propia huerta orgánica,Beginner,29.0,Español,4,11346,Self-paced on your time,Biology & Life Sciences
edX,Universitat Politècnica de Valencia,Sustainability in Architecture: An Interdisciplinary Introduction,Intermediate,50.0,English,4,31352,Self-paced on your time,Architecture
edX,Inter-American Development Bank,Gestión de riesgos en proyectos de desarrollo,Intermediate,25.0,Español,5,47676,Self-paced on your time,Business & Management
edX,The University of Michigan,Python Data Structures,Beginner,49.0,English,5,36369,Self-paced on your time,Computer Science
edX,Massachusetts Institute of Technology,The Science and Business of Biotechnology,Intermediate,49.0,English,5,17039,Self-paced on your time,Business & Management
edX,Imperial College Business School-Imperial College London,Finance Essentials,Beginner,79.0,English,2,63666,Self-paced on your time,Business & Management
edX,Curtin University,Introduction to the Internet of Things (IoT),Beginner,149.0,English,3,89421,Self-paced on your time,Computer Science
edX,Curtin University,'Talk to me': Improving mental health and suicide prevention in young adults,Beginner,139.0,English,2,11481,Self-paced on your time,Health & Safety
edX,Stanford University,Disaster Medicine Training,Beginner,50.0,English,5,10937,Self-paced on your time,Medicine
edX,Wageningen University & Research,Nutrition and Health: Human Microbiome,Beginner,49.0,English,1,44079,Self-paced on your time,Health & Safety
edX,Indian Institute of Management Bangalore,Customer Relationship Management,Intermediate,50.0,English,1,53085,Self-paced on your time,Business & Management
edX,Harvard University,Islam Through Its Scriptures,Beginner,99.0,English,4,65430,Self-paced on your time,Humanities
edX,The Georgia Institute of Technology,Mechatronics Revolution: Fundamentals and Core Concepts,Beginner,149.0,English,3,11619,Self-paced on your time,Engineering
edX,Indian Institute of Management Bangalore,Accounting for Decision-Making,Intermediate,150.0,English,4,57710,Self-paced on your time,Business & Management
edX,Dartmouth_IMTx-Dartmouth College-IMT,C Programming: Language Foundations,Beginner,49.0,English,5,46400,Self-paced on your time,Computer Science
edX,Inter-American Development Bank,Big Data sin misterios,Intermediate,25.0,Español,2,65564,Self-paced on your time,Data Analysis & Statistics
edX,Catalyst,Becoming a Successful Leader (Inclusive Leadership Training),Beginner,49.0,English,5,215705,Self-paced on your time,Communication
edX,"University of California, Berkeley","English for Journalists, Part 1",Intermediate,139.0,English,5,50847,Self-paced on your time,Communication
edX,New York University,Introduction to Networking,Beginner,150.0,English,2,16134,Self-paced on your time,Computer Science
edX,Imperial College Business School-Imperial College London,Accounting Essentials,Beginner,79.0,English,5,58463,Self-paced on your time,Business & Management
