Plataform,course_id,Institution,Title,Level,Price,Language,Rating
Coursera,anatomy403-1x,University of Michigan,Anatomy: Musculoskeletal and Integumentary Systems,Unknown,0,English,4.45
Coursera,crash-course-in-causality,University of Pennsylvania,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,Unknown,0,English,3.0
Coursera,business,University of Pennsylvania,English for Business and Entrepreneurship,Unknown,0,English,4.88
Coursera,attention-models-in-nlp,DeepLearning.AI,Natural Language Processing with Attention Models,Unknown,0,English,3.14
Coursera,getting-started-with-google-sheets,Google Cloud,Getting Started with Google Sheets,Unknown,0,English,3.24
Coursera,python-for-data-visualization,IBM,Data Visualization with Python,Unknown,0,English,3.62
Coursera,negociacion,University of Michigan,Negociación exitosa: Estrategias y habilidades esenciales (en español),Unknown,0,Spanish,5.0
Coursera,decision-making,PwC,Data-driven Decision Making,Unknown,0,English,4.09
Coursera,fe-exam,Georgia Institute of Technology,Fundamentals of Engineering Exam Review,Unknown,0,English,3.0
Coursera,gender-sexuality,University of Pittsburgh,Gender and Sexuality: Diversity and Inclusion in the Workplace,Unknown,0,English,4.47
Coursera,seo-fundamentals,"University of California, Davis",Search Engine Optimization Fundamentals,Unknown,0,English,5.0
Coursera,essentials-global-health,Yale University,Essentials of Global Health,Unknown,0,English,4.89
Coursera,international-security-management,Erasmus University Rotterdam,International Security Management,Unknown,0,English,4.89
Coursera,aws-machine-learning,Amazon Web Services,Getting Started with AWS Machine Learning,Unknown,0,English,4.67
Coursera,einstein-relativity,Stanford University,Understanding Einstein: The Special Theory of Relativity,Unknown,0,English,5.0
Coursera,reussir-le-changement,ESSEC Business School,Réussir le Changement,Unknown,0,French,4.25
Coursera,equine,"University of California, Davis",Equine Welfare and Management,Unknown,0,French,4.0
Coursera,international-migrations,Sciences Po,International migrations: a global issue,Unknown,0,English,4.38
Coursera,web-development,"University of California, Davis",Introduction to Web Development,Unknown,0,English,4.69
Coursera,writing-editing-words,University of Michigan,Writing and Editing: Word Choice and Word Order,Unknown,0,English,3.0
Coursera,digital-advertising-landscape,University of Colorado Boulder,Introduction to the Digital Advertising Landscape,Unknown,0,English,5.0
Coursera,access-control-sscp,(ISC)²,Access Controls,Unknown,0,English,1.0
Coursera,initiating-planning,Rice University,Engineering Project Management: Initiating and Planning,Unknown,0,English,4.39
Coursera,kotlin-for-java-developers,JetBrains,Kotlin for Java Developers,Unknown,0,English,4.68
Coursera,multivariate-calculus-machine-learning,Imperial College London,Mathematics for Machine Learning: Multivariate Calculus,Unknown,0,English,3.41
Coursera,introduction-git-github,Google,Introduction to Git and GitHub,Unknown,0,English,4.42
Coursera,industrial-biotech,University of Manchester   ,Industrial Biotechnology,Unknown,0,English,5.0
